Language,Trial,Number of Digits
Python,1,5570
Python,2,5628
Python,3,5629
Python,4,5626
Python,5,5655
Python,6,5656
Python,7,5641
Python,8,5657
Python,9,5653
Python,10,5643
Python,11,5648
Python,12,5649
Python,13,5640
Python,14,5623
Python,15,5632
Python,16,5638
Python,17,5646
Python,18,5644
Python,19,5649
Python,20,5654
Python,21,5638
Python,22,5649
Python,23,5650
Python,24,5649
Python,25,5652
Python,26,5645
Python,27,5643
Python,28,5645
Python,29,5658
Python,30,5654
Python,31,5650
Python,32,5668
Python,33,5654
Python,34,5645
Python,35,5645
Python,36,5636
Python,37,5656
Python,38,5675
Python,39,5647
Python,40,5636
Python,41,5632
Python,42,5635
Python,43,5662
Python,44,5661
Python,45,5666
Python,46,5643
Python,47,5637
Python,48,5627
Python,49,5629
Python,50,5614
Python,51,5632
Python,52,5640
Python,53,5656
Python,54,5671
Python,55,5672
Python,56,5671
Python,57,5669
Python,58,5675
Python,59,5670
Python,60,5654
Python,61,5654
Python,62,5642
Python,63,5634
Python,64,5629
Python,65,5642
Python,66,5646
Python,67,5648
Python,68,5647
Python,69,5655
Python,70,5663
Python,71,5664
Python,72,5664
Python,73,5655
Python,74,5667
Python,75,5644
Python,76,5644
Python,77,5637
Python,78,5642
Python,79,5649
Python,80,5651
Python,81,5635
Python,82,5641
Python,83,5645
Python,84,5645
Python,85,5667
Python,86,5673
Python,87,5635
Python,88,5630
Python,89,5643
Python,90,5648
Python,91,5628
Python,92,5644
Python,93,5650
Python,94,5653
Python,95,5619
Python,96,5617
Python,97,5640
Python,98,5649
Python,99,5664
Python,100,5668
